id,statement
38555,Man is vacuuming the seats of a car. man Answer: is cleaning the car holding a hosepipe.
31097,A woman wearing a santa hat is talking. she Answer: puts christmas lights onto the tree.
15596,"A woman is standing in her kitchen, making a cake. she Answer: frosts the cake layers with a knife."
38076,A man bends over and picks up his skateboard. he Answer: starts skateboarding down a hill.
34647,Little kid is jumping on dry leaves. woman Answer: is raking dry leaves on a yard.
20743,A man in a rodeo owing is performing a stunt. a man Answer: is riding a horse in a rodeo ring.
20494,. a man in a black shirt and white gloves Answer: places billiard balls on a pool table.
35940,A lady brings a bowl of popcorn. people Answer: sit on a couch in front of tv.
7872,"A man is standing inside a workshop. he Answer: leans over, welding a piece of metal."
20369,A young boy arranges a shirt on the floor. he Answer: grabs and iron and irons the shirt.
35531,A man is talking inside a large gym. he Answer: presents a paintball gun as he discusses technique.
10533,A man in a blue shirt picks up a child. he Answer: lifts him up to sit on his shoulder.
45987,A man is engaged in scuba diving. he Answer: explores the fish and coral on the floor.
40190,A man sits down on an exercise machine. he Answer: begins working out on the machine.
17861,People are scuba diving with fish under water. a fish Answer: is swimming around under the water.
41181,A picture of a person jumping off of a boat into the water. a boat Answer: is in the water.
5378,We see a lady talking in the bathroom. she Answer: shows us her blow dryer box.
30214,A man is shown bullfighting in front of a crowd. the man Answer: falls and is run over by the bull.
28463,A man in blue lifts dumbbells in a gym. a man wearing a yellow shirt Answer: does the same thing.
39894,"The credits for the clip is shown. a female styles Answer: her long, dark hair."
15865,A boy is in a salon chair. a woman Answer: is cutting the boy's hair.
37354,A kite is being flown in a desert. several people Answer: are standing around watching it.
37504,. a girl in jeans and a black shirt Answer: is holding a sparkly silver hula hoop.
35310,A dog is put into a bath tub. a girl Answer: pours water onto the dog out of a cup.
34666,A girl is shown several times running on a track. she Answer: uses a pole to vault over a bar.
3017,A man appears before several targets on a back wall. he Answer: talks about the basics of archery.
12054,People are riding horses on a field. a dog and a person Answer: cross in front of the camera.
30984,A man dances in in a big room. as he Answer: does the dance he explains how to do it.
44034,We see a series of opening screens. a person Answer: throws a frisbee as a dog catches them.
37305,A man is seen pulling a pair of drums closer. he Answer: then begins playing on the drums.
27445,A woman is grooming a dog in a salon. she Answer: brushes the dogs hair and clips it.
14118,A man is standing in a room talking. another man Answer: is painting the walls of the room.
6322,A woman puts a blindfold on another woman. they Answer: give her a bat and spin her around.
3092,A man is shown against a white background. he Answer: is playing a guitar with his hands.
42853,"A person cuts a pepper and put in a bowl. also Answer: , the person cook noodles in a pot."
37055,A man is playing wall ball in a room. he Answer: hits the ball against the wall several times.
8951,We see two men standing on a river bank. the men Answer: perform tai chi slowly.
16315,A kid is standing up playing the bag pipes. people Answer: are sitting in front of him watching.
36694,A small monkey is walking along a branch. the monkey Answer: stops and eats something in its hand.
12480,People are standing on a blue mat. they Answer: begin doing a cheerleading routine on the mat.
46547,People are walking up a hill with tubes. a woman Answer: is seen tubing downhill.
37280,A man is standing in his front yard. he Answer: is using a leaf blower attached to his back.
40602,A man is wearing a yellow vest. he Answer: is standing in front of a building cleaning a window.
11465,A woman in blue shorts hands a man a dart. a man in a white hat Answer: throws a dart at a board.
,Kai swung through the trees while she was outside. How would you describe Kai? Answer: athletic
,Robin thanked Jordan for the dinner. Why did Robin do this? Answer: Get a goodnight kiss
,Jan gave the entire class an F on the assignment. Why did Jan do this? Answer: hurt their grades
,Robin held her breath underwater in the pool. How would you describe Robin? Answer: fun
,"Quinn climbed into bed after a full, busy day of work. Why did Quinn do this? Answer: felt tired"
,"Sasha got very tired, so she took a nap. How would Sasha feel afterwards? Answer: energetic"
,Carson turned music down to go to college instead. How would you describe Carson? Answer: practical
,Robin was on a diet. How would Robin feel afterwards? Answer: Someone with good self control
,Robin was playing soccer and played for a long time. Why did Robin do this? Answer: were having fun
,remy was a kind person so he set up ash's tent. What will happen to Remy? Answer: sleep in a tent
,Kai observed and improved Jan's work. What will Kai want to do next? Answer: get praise
,Ash wore a dress and all of his friends laughed at him. Why did Ash do this? Answer: become a girl
,Kendall drank every night with their friends. How would Kendall feel afterwards? Answer: hungover
,Riley was really hungry so she ate Jordan's bread. How would you describe Riley? Answer: Uncaring
,Taylor had to throw it away because it was spoiled. How would you describe Taylor? Answer: sanitary
,Ash and Sasha have been dating for a long time. Why did Ash do this? Answer: affectionate
,kai was scared so he crowded around sydney. What will Sydney want to do next? Answer: push kai away
,Kai told Kendall the reason so mad last night. How would Kai feel afterwards? Answer: sorry
,Quinn finished the movie and cried at the ending. How would you describe Quinn? Answer: sensitive
,Kai was standing on the edge and could fall over. How would you describe Kai? Answer: taking a risk
,Riley watched Jesse with observant eyes. What will happen to Jesse? Answer: creeped out
,Cameron wasted money on an expensive handbag. Why did Cameron do this? Answer: buy a status item
,Ash was cut short by the speaker at the conference. How would you describe Ash? Answer: frustrated
,Riley looked at Jesse. What will Riley want to do next? Answer: Look at something else
,Riley had a lot of friends. What will happen to Riley? Answer: they will play with Riley
,Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? Answer: rude
,Sasha was playing a game but they got tired of it. How would you describe Sasha? Answer: bored
,Sasha increased the pay rate of their employees. How would you describe Sasha? Answer: a good boss
,Alex helped Casey escape from the jail cell. What will happen to Casey? Answer: hide out with Alex
,Tracy was driving to school and then decided not to go. Why did Tracy do this? Answer: skip a test
,Carson was visiting. What will Carson want to do next? Answer: play a game
,Alex gave Sasha service to her car today. How would Alex feel afterwards? Answer: as helpful
,Riley cried after Jesse said something. What did Jesse say? Answer: Insults about Riley
,Jordan let others into his house. Why did Jordan do this? Answer: was having a game night
,Riley was in pain. How would Riley feel afterwards? Answer: Painful
,Sasha grabbed Robins head and gave it a good shake. Why did Sasha do this? Answer: joke around
,Jesse had made popcorn for Jesse and Lee. How would you describe Jesse? Answer: nice
,Riley began to hurt inside. How would Riley feel afterwards? Answer: Someone who needs help
,Sasha helped Jordan. What will Sasha want to do next? Answer: friends with Jordan
,Aubrey was practicing her violin all night. How would others feel as a result? Answer: Annoyed
,Kai had got into bed and felt relaxed. How would you describe Kai? Answer: feeling tired
,Kai grabbed Carson's tools and then made use of them. Why did Kai do this? Answer: didn't have any
,Bailey was a fast learner. How would you describe Bailey? Answer: Knowledge-seeking
,Lee wore a jacket because it was winter and it was cold. Why did Lee do this? Answer: stay warm
,Taylor gave Kai a lot to think about. What will happen to Taylor? Answer: Research the information
,Remy dropped a dime and picked it up right away. How would you describe Remy? Answer: cheap
,Austin got extra help on the paper due tomorrow. How would Austin feel afterwards? Answer: happy
,Cameron went off on her way. How would Others feel as a result? Answer: left out
,Ash used metaphor and meaning through out his book. How would Ash feel afterwards? Answer: creative
,Remy got very dark because it is late at night. What will Remy want to do next? Answer: sleep
43808,A gymnast mounts a high beam in a gym. he Answer: flips and does several springs.
18146,A foosball table is on a tiled floor. people Answer: are playing foosball indoors.
35367,We see a girl jumping on a trampoline in doors. we Answer: see the girl spin in the air.
48695,A boy walks backwards on the lawn. the boy Answer: picks up the croquet stick and makes his shot.
1598,Letters are shown on a screen. a blue bucket Answer: is put into a sink.
30304,"A person holds a ring in a small box. then Answer: , the man wraps the box with gift paper."
17324,A woman is dancing up on a stage. she Answer: is leading a large group in zumba class.
46581,A person is holding a cats paw and clipping their nails. they Answer: pet the can afterwards.
5350,Little kid is playing saxophone in front of a wall. people Answer: are passing in front of the kid.
33940,Cheerleaders are standing on a blue mat. they Answer: start doing a routine on the mat.
35241,Several people float down a river in tubes. they Answer: pass through several rocks.
8255,A young man sucks smoke through a hookah pipe. the boy Answer: blows smoke rings through the air.
19655,A man jumps onto a balance beam. he Answer: does a gymnastics routine on the balance beam.
37437,A man pours concrete onto a plate. he Answer: is wearing a blue uniform.
47718,A cowboy is released from a rodeo gate. he Answer: uses a lasso to catch a small calf.
18298,People are in the pool swimming. a person Answer: picks up a yellow ball and throws it.
4375,A person begins to solve a rubix cube. they Answer: start turning it in all directions.
39482,A couple of arm wrestlers are on a mat. they Answer: lock arms and push hard.
46946,A vet tech is talking behind a table. an orange tabby cat Answer: is seated on the table.
6530,A woman is laying on a medical chair. here mouth Answer: is held open with clamps by second woman.
19816,A man and lady leave a room. a man Answer: kisses a lady on the cheek as they walk arm to arm.
25075,Two men are decorating a christmas tree. they Answer: are putting red ribbon around the tree.
47431,A man is water skiing on a large lake. he Answer: is being pulled by a motor boat.
41629,Several men stand on a pier. One of the men is shirtless. they Answer: bring out some raw meat.
37,"Two bodybuilder women are seated at a table. they Answer: are arm wrestling, vieing to win."
19413,Someone is throwing a dart in a dartboad. man Answer: is throwing darts into a board in a room.
9979,Men are on a field playing lacrosse. we Answer: see number 17 blocking and following number 26.
44017,"A red mustang is being hosed down. next Answer: , the workers rub soap over the car."
20832,A bike is seen upside down in a shop. a man Answer: shows how to remove a tire.
31586,A man stands in front of a podium talking. two other men Answer: stand next to him.
17077,Several bikers are lined up in a row. they Answer: then take off biking.
4747,A man is seated on a stage. there Answer: is a room full of people watching him.
11396,We see the title over a landscape. people Answer: are playing instruments in a field.
37078,Two people are boxing on a mat. they Answer: stop and step away from each other.
23015,A boy wearing white shorts is standing in a room. he Answer: puts something in his mouth.
5889,The old woman is sitting on a chair and knitting. the woman Answer: is showing her knitted item.
16153,A couple of men are riding inside a car. they Answer: are talking as they drive down the road.
11731,". two guys beginning a arm wrestling match, the guy in the back shirt Answer: wins the first match."
19374,We see a child in a robe near a pool. the child Answer: takes off the robe.
33686,A kid is sitting behind a drum set. he Answer: starts playing the drums in front of him.
27330,A couple of people are canoing in a river. they Answer: use paddles to move through the water.
12616,A woman is on a concrete court outside. she Answer: is jumping across a chalk drawn hopscotch game.
40644,. a man in a little kayak type of of boat Answer: is paddling the boat.
26557,A group of swimmers are in a public pool. they Answer: are involved in a game of water polo.
46487,A group of boys are seated at tables. they Answer: are trying to solve rubik's cubes puzzles.
20846,People are in a swimming pool playing water polo. a woman Answer: is walking outside the pool.
48625,. a black intro screen with a logo and words Answer: appear in red and white and black.
47269,A man jumps onto a balance beam. he Answer: does a gymnastics routine on the balance beam.
15823,A woman dances on a street while spectators watch. an older man Answer: walks nearby to the woman.
40344,A man in a black tuxedo is speaking to the camera. a person Answer: walks by in the background.
3SCKNODZ0XENKCVS5ZYT8YEDYG97NE-1,"Adam loved dogs but Jason was afraid of them, so only _ petted the poodle. Answer: Adam"
3CRWSLD91K2ON02RAK0V65B8OXWOMD-1,I did not see the sign on the billboard on the highway because the _ was too tiny. Answer: sign
3NQUW096N661AVG08JGY921UTSY9LU-2,the scanning tool could not get through the cervix because the _ was too big. Answer: tool
3G3AJKPCXLQKDOHNA39XM2SABXEY40-1,Brian was jealous of Brett's new car because _ couldn't afford to buy a new car. Answer: Brian
3V7ICJJAZCU3U5NJK97D6PIHJB24BJ-1,"Donald was able to catch the Frisbee thrown by Eric, then _ threw the Frisbee back. Answer: Donald"
3SA4EMRVJXGOZB6SKD2CP6XTJPQ0PH-1,Betty had more burns on their hands than Amy because _ worked as a welder. Answer: Betty
3AA88CN98P15RQ6QVVWDTJH6D14YKV-1,They were wanting  to move the bed thru the door. The _ was way to small. Answer: door
3F6HPJW4JEY97P5UHRENXA6LF49W24-2,Joel complained to Ian about the condition of the house. _ preferred a messy space. Answer: Ian
3R5OYNIC2ENPFK3JIFQM9HZZHAGPTY-1,Joe drank his milk and tried to dunk his cookie in the glass but the _ was too big. Answer: cookie
3TLFH2L6YB2TND2DGHFAD4R66LGT2D-1,The paper bags got torn when James was using it to move the groceries. The _ are weak. Answer: bags
3P4ZBJFX2V1QMZJCFJNSS94LUV5WF6-1,"My home is closer to the store than John's house, because the _ of me is next door. Answer: home"
3JMQI2OLFZ331LW2WC1F8QO9KS9NDM-2,Rebecca asked Kayla to turn the lights out but _ did not want to go to sleep. Answer: Kayla
3NZ1E5QA6ZZ6WZSCEGENJJ0NQLJ5BR-1,Erin read a book to Monica because _ was old enough to be able to read. Answer: Erin
3FSEU3P2NTEXBI66RIPGEXYVTBORR1-2,Patricia had to pay less tax than Cynthia because _ made more money in the year. Answer: Cynthia
3CMV9YRYP3ZQG7T9UV7BYWFXPXIJL7-2,"the water poured freely into the hole until it disappeared , the _ was  little. Answer: water"
3Z56AA6EK6EDSJVUUMQ1H3DQT1N6MA-2,Benjamin had less piercings than Jeffrey did so it was harder for _ to get a job. Answer: Jeffrey
3L21G7IH49AIFEJB7J2VG29GTU2Y1Y-2,The beef tasted better than the pork did although the _ had been slightly undercooked. Answer: beef
301KG0KX9CJOOFCBWPML7N091PC2HK-2,Beautiful roses were bought by Jason for Dennis because _ is a receiver in general. Answer: Dennis
3VDVA3ILIFTITNYBDDGP922BNFYG1Z-1,I slowly poured the milk over my bowl of cereal until the _ was gone. Answer: milk
3FCO4VKOZ4BJQ6IFC0VAIBK4KTWE7U-1,Sarah was a much better surgeon than Maria so _ always got the harder cases. Answer: Sarah
33KGGVH24WVTF9T12NGTXO27RLAX1N-1,"Justin bought a new RV but Lawrence liked his old one, so _ decided to sell it. Answer: Justin"
3XBYQ44Z6RIFZT0KU14H1B7U9RIWT0-1,The woman moved the urn in front of the vase on the shelf because the _ was attractive. Answer: urn
3RWB1RTQDL16H0BVFHFRIL3B2N28PC-1,Sarah had to call in an expert unlike Erin because _ had no knowledge on the subject. Answer: Sarah
3IHWR4LC7FRE0EOR2MP79O2ZGB2I89-1,Brian wanted a horse but not Nick because _ raised cattle in their spare time. Answer: Brian
375VMB7D4JHBNKLBZWON3ISS3B2IDT-1,"The toddler kicked the hard furniture and soft toy, but only the _ caused pain. Answer: furniture"
3Y7LTZE0YTKJZCL7LV2YDDZ6G3MUZO-1,"Dennis made their weight loss goal before Eric, because _ only ate a healthy diet. Answer: Dennis"
3G9UA71JVVSR1M47Q161FRXWUFO7J1-1,"Ben had to drain both water and oil down the sink, but the _ was too viscous. Answer: oil"
3XBXDSS88AX65GX5VXYCH3BLQYFXL8-2,"His hands were a lot rougher than his thighs, because he used the _ for nothing. Answer: thighs"
35ZRNT9RUIWN1EUH42VGA622JQKO31-2,Betty gave the full pitcher to Rachel so _ could fill her glass with water. Answer: Rachel
3909MD9T21VBZOWSEH5MY1LTBI0FEY-2,"After I soaked the roller in the paint container, the _ had less paint on it. Answer: container"
3VMHWJRYHXUK5ON99MVEMQ60RUMFXU-2,Kyle asked Brett for some tips on healthy eating because _ has recently lost weight. Answer: Brett
3L7SUC0TTUS3KJA88ZYKG4FQLFSM0Y-2,Emily decided to eat a lot more yucca than Carrie did. _ was still hungry. Answer: Carrie
3BPP3MA3TEYXZG6O0S8KTEQE9S9ELK-2,"The woman kept the bikini but returned the top, because the _ was the wrong size. Answer: top"
3TC2K6WK9G0VV4BITLSFUA7A3P382Z-2,"Emily never had as much money to spend as Carrie, because _ had a good job. Answer: Carrie"
3VO4XFFP170NHY7R5P2A4QXQW1DQ7X-1,"At the ballgame, Matthew was really thirsty and Aaron was not. _ took his beverage. Answer: Matthew"
3SZYX62S5IEYOCOTLXE76F2Z0SJ754-1,"I had to read an entire story for class tomorrow. Luckily, the _ was short. Answer: story"
3U18MJKL1W08QIPVGEI4GIU0TBVNC1-1,The rib-eye steak needed some artisan pepper to season it because the _ was bland. Answer: steak
33Q5P9PUSPKNDI47Z4HYJ7D0EKCZCJ-2,He tried to use the rag to clean the bacteria off the table but the _ was too large. Answer: table
3QO7EE372Q1AJAAHI6EQ9SJMFT7BQB-1,"Victoria was eager to make the big sale to Sarah , as _ needed the money that day. Answer: Victoria"
3PEG1BH7AEP9EIDFL3ITL8J5ST2BKB-2,"Mary wanted to get another piercing in her ear, but the _ was much too huge. Answer: piercing"
3YCT0L9OMONOXZERD084VNYIGGANST-2,William went on the ride more than Matthew did because _ thought it was scary. Answer: Matthew
3LXX8KJXPYNOA5I4598QTHTWCIHO9H-1,The sound of the foot was clearly audible from the street because the _ is quiet. Answer: street
3X2LT8FDHYWW198WR3TMAFB7VNC8WK-1,The tree fell down sooner than the sapling because the roots of the _ were stronger. Answer: tree
3OEWW2KGQLP0DVVLHPDSFDCM37QDOP-2,The farmer had more corn to harvest than yams because his cows hated eating the _ . Answer: corn
3O2Y2UIUCS8ELOO2A3GPWWYYV6XKF6-1,The shirts were straighter than the pants because the _ were hanging on the hanger. Answer: shirt
3ZZAYRN1I857UKRI3FD7KHU86YXOTC-1,"Jody wanted new mascara and eyeliner, either black or brown, but the _ was too heavy. Answer: black"
3EQPA8A374UALWAD9WYK6BQVZSFZJY-1,"Joseph has an allergy to mangoes, but Nelson does not, so _ has to be very careful. Answer: Joseph"
3B9J25CZ27R56VH0OAZQFC46G6YCSP-1,No one would have noticed the spot on that skin because the _ is small. Answer: spot
3D4BBDG7ZJA1MEWLYVYP74WUODH3CG-2,"The hiking group had less food than water, so they tried to conserve the _ . Answer: food"
3KQC8JMJGCQD9X8U0P0QQX51CLEH3H-1,"The TV that Samantha bought costs more than that of Carrie, because _ was rich. Answer: Samantha"
